DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-04 18:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5225.79	2022-01-04 21:00:51
2022-01-04 19:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5171.09	2022-01-04 22:00:54
2022-01-04 20:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4929.86	2022-01-04 23:00:55
2022-01-01 16:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4996.59	2022-01-02 03:00:55
2022-01-01 17:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4953.64	2022-01-02 03:00:55
2022-01-01 18:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4914.75	2022-01-02 03:00:55
2022-01-01 19:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4817.2	2022-01-02 03:00:55
2022-01-01 20:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4605.17	2022-01-02 03:00:55
2022-01-01 21:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4502.16	2022-01-02 03:00:55
2022-01-01 22:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4414.09	2022-01-02 03:00:55
2022-01-01 23:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4178.71	2022-01-02 03:00:55
2022-01-02 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4070.31	2022-01-02 03:00:56
2022-01-02 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4148.16	2022-01-02 04:00:51
2022-01-02 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4134.11	2022-01-02 05:00:51
2022-01-02 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4045.29	2022-01-02 06:00:55
2022-01-02 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4111.22	2022-01-02 07:00:52
2022-01-02 05:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4083.99	2022-01-02 08:00:54
2022-01-02 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4183.92	2022-01-02 10:01:04
2022-01-02 07:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4270.15	2022-01-02 12:00:48
2022-01-02 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4363.67	2022-01-02 12:00:48
2022-01-02 09:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4456.06	2022-01-02 12:00:48
2022-01-02 10:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4495.87	2022-01-02 13:00:58
2022-01-02 11:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4567.34	2022-01-02 15:00:56
2022-01-02 12:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4620.62	2022-01-02 15:00:56
2022-01-02 13:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4649.62	2022-01-02 16:00:58
2022-01-02 14:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4666.27	2022-01-02 17:00:54
2022-01-02 15:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4740.05	2022-01-02 18:00:57
2022-01-02 16:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4769.59	2022-01-02 19:00:56
2022-01-01 05:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4389.71	2022-01-02 03:00:55
2022-01-01 06:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4407.69	2022-01-02 03:00:55
2022-01-01 07:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4468.4	2022-01-02 03:00:55
2022-01-01 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4525.46	2022-01-02 03:00:55
2022-01-01 09:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4507.38	2022-01-02 03:00:55
2022-01-01 10:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4637.37	2022-01-02 03:00:55
2022-01-01 11:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4723.15	2022-01-02 03:00:55
2022-01-01 12:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4748.37	2022-01-02 03:00:55
2022-01-01 13:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4929.92	2022-01-02 03:00:55
2022-01-01 14:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4964.84	2022-01-02 03:00:55
2022-01-01 15:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	5021.62	2022-01-02 03:00:55
2022-01-01 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4440.2	2022-01-02 03:00:55
2022-01-01 01:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4479.93	2022-01-02 03:00:55
2022-01-01 02:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4423.58	2022-01-02 03:00:55
2022-01-01 03:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4386.05	2022-01-02 03:00:55
2022-01-01 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	4374.64	2022-01-02 03:00:55
2022-01-04 21:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2650.39	2022-01-05 03:00:53
2022-01-04 22:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2611.91	2022-01-05 03:00:53
2022-01-04 23:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2566.03	2022-01-05 03:00:53
2022-01-05 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2525.72	2022-01-05 03:00:53
2022-01-05 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2479.84	2022-01-05 04:00:49
2022-01-05 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2494.96	2022-01-05 05:00:53
2022-01-05 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2477.53	2022-01-05 06:00:52
2022-01-05 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2440.42	2022-01-05 07:00:53
2022-01-05 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2584.83	2022-01-05 08:00:56
2022-01-05 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2724.15	2022-01-05 09:00:59
2022-01-05 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2762.9	2022-01-05 10:01:06
2022-01-05 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2818.18	2022-01-05 13:00:56
